UPRN,Postcode,"Service type","LSOA code","LSOA name","LA code","LA name"
CI_UPRN_23,BN11TT,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_24,BN11UE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_25,BN11UF,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_26,BN11UF,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_27,BN11UF,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_28,BN11UF,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_29,BN11UN,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_30,BN11UR,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_31,BN11UR,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_32,BN11UT,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_33,BN11UT,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_34,BN11YA,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_35,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_36,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_37,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_38,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_39,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_40,BN11YD,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_41,BN11ZA,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_42,BN12AA,Unclassified,E01016953,"Regency E01016953",00ML,"Brighton and Hove"
CI_UPRN_43,BN12BE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_44,BN12BE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_45,BN12HA,Unclassified,E01016955,"Regency E01016955",00ML,"Brighton and Hove"
CI_UPRN_46,BN12PT,Unclassified,E01016954,"Regency E01016954",00ML,"Brighton and Hove"
CI_UPRN_47,BN12PT,Unclassified,E01016954,"Regency E01016954",00ML,"Brighton and Hove"
CI_UPRN_48,BN12RG,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_49,BN13AH,Unclassified,E01016951,"Regency E01016951",00ML,"Brighton and Hove"
CI_UPRN_50,BN13AH,Unclassified,E01016951,"Regency E01016951",00ML,"Brighton and Hove"
CI_UPRN_51,BN13AJ,Unclassified,E01016951,"Regency E01016951",00ML,"Brighton and Hove"
CI_UPRN_52,BN13AT,Unclassified,E01016951,"Regency E01016951",00ML,"Brighton and Hove"
CI_UPRN_53,BN13BF,Unclassified,E01016951,"Regency E01016951",00ML,"Brighton and Hove"
CI_UPRN_54,BN13EF,Unclassified,E01016953,"Regency E01016953",00ML,"Brighton and Hove"
CI_UPRN_55,BN13FS,Unclassified,E01016953,"Regency E01016953",00ML,"Brighton and Hove"
CI_UPRN_56,BN13JD,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_57,BN13JJ,Unclassified,E01016950,"Regency E01016950",00ML,"Brighton and Hove"
CI_UPRN_58,BN13LJ,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_59,BN13LP,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_60,BN13PS,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_61,BN13RJ,Unclassified,E01016968,"St. Peter's and North Laine E01016968",00ML,"Brighton and Hove"
CI_UPRN_62,BN13RJ,Unclassified,E01016968,"St. Peter's and North Laine E01016968",00ML,"Brighton and Hove"
CI_UPRN_63,BN13TE,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_64,BN13TJ,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_65,BN13TJ,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_66,BN13TJ,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_67,BN13TJ,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_68,BN13TJ,Unclassified,E01016967,"St. Peter's and North Laine E01016967",00ML,"Brighton and Hove"
CI_UPRN_69,BN13XE,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_70,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_71,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_72,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_73,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_74,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_75,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_76,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_77,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_78,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_79,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_80,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_81,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_82,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_83,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_84,BN13XG,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_85,BN14AA,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_86,BN14AA,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_87,BN14AA,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_88,BN14AA,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_89,BN14ET,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_90,BN14EW,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_91,BN14FA,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_92,BN14FQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_93,BN14FQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_94,BN14GD,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_95,BN14GD,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_96,BN14GE,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_97,BN14GP,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_98,BN14GP,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_99,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_100,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_101,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_102,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_103,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_104,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_105,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_106,BN14GQ,Unclassified,E01016965,"St. Peter's and North Laine E01016965",00ML,"Brighton and Hove"
CI_UPRN_107,BN14GU,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_108,BN14JA,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_109,BN14JA,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_110,BN14JH,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_111,BN14JU,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_112,BN14LA,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_113,BN14LA,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
CI_UPRN_114,BN14ND,Unclassified,E01016964,"St. Peter's and North Laine E01016964",00ML,"Brighton and Hove"
